regulation_id,section_id,section_number,title,content_summary,text,section_type,paragraph_range,source_page_start,source_page_end
APS-220,APS-220-S11,Large exposures and associations with related entities,Large Exposures and Associations with Related Entities,"For large exposures and related entity associations, ADIs must also comply with APS 221 and APS 222 respectively.","18. For large exposures and associations with related entities, an ADI must also have regard to Prudential Standard APS 221 Large Exposures (APS 221) and Prudential Standard APS 222 Associations with Related Entities (APS 222), respectively.",core,18,7,7
APS-220,APS-220-S12,Credit risk appetite,Credit Risk Appetite,"ADIs must maintain a well-documented credit risk appetite statement articulating the degree of credit risk they are prepared to accept, the maximum tolerance level, processes for setting and monitoring tolerances, and the timing and process for review.","19. An ADI must maintain an appropriate and well-documented credit risk appetite statement. The statement must, at a minimum, articulate the degree of credit risk that the ADI is prepared to accept (credit risk appetite), the maximum level of credit risk that the ADI is willing to operate within (credit risk tolerance), the process for ensuring credit risk tolerances are set at an appropriate level, the process for monitoring compliance with credit risk tolerances and for taking appropriate action in the event it is breached, and the timing and process for review of the credit risk appetite and tolerances.",core,19,7,7
APS-220,APS-220-S13,Credit risk management strategy,Credit Risk Management Strategy,"ADIs must maintain a well-documented credit risk management strategy that reflects their credit risk appetite, credit risk profile, and market conditions. The strategy must describe willingness to accept credit risk by exposure type, sector, geography, currency and maturity, and consider sustainability of earnings including risk/reward trade-offs.","20. An ADI must maintain an appropriate and well-documented credit risk management strategy that outlines the objectives guiding the ADI's credit origination, credit assessment and approval activities and adopts the necessary policies and processes for conducting such activities.
21. An ADI's credit risk management strategy must reflect the ADI's credit risk appetite, credit risk profile and market and macroeconomic conditions.
22. An ADI's credit risk management strategy must describe the ADI's willingness to accept credit risk based on exposure type, economic or industry sector, geographical location, currency and maturity. This must also include the overall characteristics that the ADI would want to achieve in its credit portfolio.
23. An ADI's credit risk management strategy must consider the sustainability of earnings from its credit risk activities including an acceptable risk/reward trade-off that would factor in cost of capital estimates.",core,20-23,7,8
APS-220,APS-220-S14,The role of the Board and senior management,The Role of the Board and Senior Management,"The Board must review and approve the credit risk appetite and strategy at least annually, challenge senior management on policy compliance, and ensure adequate capability and resources. Senior management must implement the Board-approved strategy, develop policies and processes, and ensure independent internal reviews of credit functions.","Board responsibilities
24. The Board of an ADI must review and approve, on at least an annual basis, the ADI's credit risk appetite and credit risk management strategy.
25. The Board must regularly challenge, seek assurance and evidence from senior management that the credit risk policies, processes and practices are consistent with the credit risk management strategy (and, in turn, the credit risk appetite) of the ADI. The Board must obtain sufficient information to confirm whether or not the credit risk profile of the ADI is consistent with the credit risk management strategy, and require senior management to take appropriate and timely action if it is not.
26. The Board must ensure that senior management of the ADI has the capability and resources to appropriately manage the credit risk activities conducted by the ADI and that such activities operate within the credit risk management strategy, credit risk policies and credit risk appetite.
Senior management responsibilities
27. Senior management of an ADI must have responsibility for implementing the Board approved credit risk management strategy and for developing and implementing appropriate policies and processes for identifying, measuring, monitoring, reporting and controlling or mitigating credit risk. Such policies and processes must address credit risk in all of the ADI's activities and at both the individual exposure and portfolio levels.
28. Senior management's responsibility for implementing the credit risk management strategy and for developing and implementing the credit risk policies of the ADI includes ensuring:
(a) credit origination, credit assessment and approval activities conform to the established strategy and policies;
(b) written processes are developed consistent with the credit risk management strategy and credit risk policies;
(c) credit origination, credit assessment and approval and review responsibilities are clearly and properly assigned;
(d) the strategy, policies and processes are effectively communicated throughout the ADI and that all relevant personnel clearly understand the ADI's approach to originating, assessing, approving and managing credit risk and are held accountable for complying with the established policies and processes; and
(e) there is a regular independent internal review of the ADI's credit origination, credit assessment and approval and management functions. Such reviews must be conducted independently from the business function. This may involve an ADI's independent risk management and compliance function or an independent internal audit function or qualified external party.",core,24-28,8,9
APS-220,APS-220-S15,Credit risk policies and processes,Credit Risk Policies and Processes,"ADIs must adopt prudent, well-documented policies and processes covering the full credit life-cycle, including origination, assessment, approval, and ongoing monitoring. Policies must address target markets, portfolio mix, limits, approval authorities, overrides, and early identification of problem exposures, and must be designed within the context of internal and external factors.","29. An ADI must adopt and implement prudent and well-documented policies and processes to identify, measure, monitor, report and control or mitigate credit risk. The full credit life-cycle must be considered, including credit origination, initial and subsequent credit assessment and approval processes and the ongoing monitoring and management of the ADI's credit exposures and portfolio.
30. Credit risk policies must address such topics as target markets, portfolio mix, price and non-price terms, the structure of limits, approval authorities and overrides, waivers or exceptions processing and reporting. Such policies must be well-documented, clearly defined, consistent with prudent practices and applicable laws and regulations, and adequate for the size, nature and complexity of the ADI's activities.
31. Credit risk policies must be designed and implemented within the context of internal and external factors such as the ADI's market position, personnel capabilities and technology. Appropriate operational capacity and business systems must be in place to support the credit risk management strategy before the strategy is implemented.
32. An ADI must have prudent and well-documented policies and processes for the early identification and management of problem exposures, including non-performing and restructured exposures and other transactions, and the maintenance of adequate provisions.
33. An ADI must have appropriate credit risk practices, including an effective system of internal control, to consistently determine adequate provisions in accordance with the ADI's stated policies and processes and Australian Accounting Standards.
Internal risk appetite limits
34. In addition to the requirements in CPS 220, APS 221 and APS 222, an ADI must develop and implement appropriate policies and processes to ensure that the credit portfolio is adequately diversified given the ADI's target markets and credit risk management strategy. In particular, such policies must establish targets for portfolio mix as well as set prudent limits on exposures to:
(a) higher risk borrowers;
(b) higher risk credit products and activities; and
(c) particular industry sectors and geographical locations, where appropriate.
Country and transfer risk
35. An ADI that originates credit exposures in geographical locations other than Australia must have prudent policies and processes for identifying, evaluating, measuring, monitoring, reporting and controlling or mitigating country risk and transfer risk. Country or sovereign risk encompasses the entire spectrum of risks arising from the economic, political and social environments of a foreign country that may have potential consequences for foreigners' debt and equity investments in that country. Transfer risk focuses more specifically on a borrower's capacity to obtain the foreign exchange necessary to service its cross-border debt and other contractual obligations. The monitoring of country risk factors must incorporate:
(a) the potential default of foreign borrowers arising from country-specific economic factors; and
(b) the enforceability of agreements, including the timing and ability to realise collateral under the relevant legal framework.",core,29-35,9,10
APS-220,APS-220-S16,Credit origination,Credit Origination,"ADIs must recognise and address risks from different credit origination channels, applying higher diligence where decisions are made distant from the borrower or collateral. Where third parties such as brokers are involved in origination, ADIs must have sound oversight processes and verify the accuracy and completeness of borrower information.","36. An ADI must recognise and address the risks arising from different credit origination channels in its credit risk management framework. An ADI must exercise a higher level of diligence where credit assessment and approval decisions are made distant from the geographical location of a borrower or underlying collateral.
37. Where there are material changes to origination channels, including their relative significance, an ADI must assess the impact of these changes on the ADI's credit risk profile, and appropriately address the risks of such changes.
38. In circumstances where third parties, such as brokers or introducers, are involved in credit origination, but have no ability to approve credit risk, an ADI must have a sound oversight process of the third party. In particular, an ADI must have prudent policies and processes to ensure that reasonable inquiries have been made and reasonable steps have been taken to verify the accuracy and completeness of all relevant borrower information provided by the third party and the outcomes of these processes must be documented.",core,36-38,10,11
APS-220,APS-220-S17,Credit assessment and approval process,Credit Assessment and Approval Process,"ADIs must establish sound credit assessment and approval criteria, undertaking comprehensive assessment of borrower credit risk primarily based on repayment capacity. Requirements cover exposures to individuals and non-individuals, collateral valuation, LVR limits, guarantees, approval processes, override policies, and third-party credit assessment oversight.","39. An ADI must establish sound credit assessment and approval criteria. These criteria must set out the borrowers that are eligible for credit, the extent and nature of credit the ADI is willing to provide and the terms and conditions the exposures would be subject to.
40. An ADI must undertake a comprehensive assessment of a borrower's credit risk which would consider and be proportionate to the nature, type and size of the exposure. An ADI must use experienced credit judgement in adopting a scalable and flexible approach to its credit risk assessment of a borrower.
41. An ADI must assess credit risk primarily on the strength of a borrower's repayment capacity. The ADI must not place undue reliance on collateral provided by the borrower as a substitute for a comprehensive credit assessment.
42. An ADI must not place undue reliance on external credit ratings. An ADI must obtain adequate information to undertake a comprehensive credit assessment of a borrower.
43. An ADI must give due consideration to the integrity and reputation of the borrower as well as its legal capacity to assume liability.
Exposures to individuals
44. For exposures to individuals, an ADI's credit assessment must include consideration of the following criteria, where relevant:
(a) the purpose and structure of the exposure and sources of repayment, including making reasonable inquiries and taking reasonable steps to verify income or cash flows;
(b) the current risk profile of the borrower, including making reasonable inquiries and taking reasonable steps to verify commitments and total indebtedness;
(c) the borrower's repayment history and capacity, assessed under various scenarios such as:
(i) an increase in interest rates;
(ii) a change from a fixed-rate to a floating interest rate (and vice versa);
(iii) a decrease in income or cash flows, particularly for less stable income or cash flow sources; and
(iv) for exposures with an interest-only period that subsequently converts to principal and interest payments, on a principal and interest basis of repayment;
(d) the borrower's expenses, including the collection of reasonable estimates. Expense benchmarks must not be used as a substitute for an ADI making reasonable enquiries of a borrower's expenses;
(e) the proposed terms and conditions of the exposure, including covenants designed to limit the ADI's exposure to changes in the future risk profile of the borrower to an acceptable level to the ADI; and
(f) where applicable, the adequacy and enforceability of collateral, guarantees and other risk mitigants, including under various scenarios.
Exposures other than to individuals
45. For exposures other than to individuals, in addition to paragraphs 44(a), 44(b), 44(c), 44(e) and 44(f), an ADI's credit assessment must also include consideration of the following criteria, where relevant:
(a) the borrower's business expertise, economic or industry sector and its position within that sector;
(b) the borrower's historical financial and future cash flows;
(c) the borrower's equity capital invested in the business; and
(d) the availability and enforceability of risk mitigants other than collateral, such as hedging and insurance.
Collateral and guarantees
46. An ADI must have prudent credit risk policies covering the acceptability of various forms of collateral, appropriate processes for the valuation of such collateral (including the valuation of collateral prior to entering into an exposure and the ongoing valuation of collateral, where appropriate), and an appropriate process to ensure that collateral is, and continues to be, enforceable and realisable (refer to Attachment A to this Prudential Standard).
47. An ADI must ensure all valuations are appraised independently from the ADI's credit origination, credit assessment and approval process.
48. The valuation of collateral must reflect fair values, taking into account prevailing market conditions such as time taken for the liquidation or realisation of collateral.
49. An ADI must also ensure that the valuation of collateral such as land takes into account, to the extent possible, the likelihood of external events, including but not limited to fire, drought and flood, which may impact the valuation of the asset taken as collateral.
50. An ADI must have appropriate mechanisms in place for regularly assessing the value of collateral, guarantees and other risk mitigants.
51. An ADI must establish appropriate limits on LVR to minimise the risk that a property serving as collateral will be insufficient to cover any repayment shortfall. An ADI must ensure there is appropriate scrutiny of any instances of lending with high LVR.
52. An ADI must appropriately evaluate the level of coverage being provided in relation to the credit quality of the guarantor and legal enforceability of the guarantee. For exposures to individuals in particular, an ADI must ensure a guarantor has a clear understanding of the risks involved.
Credit approval and experienced credit judgement
53. An ADI must have a clearly established process in place for:
(a) approving new exposures (including prudent credit standards);
(b) renewing and refinancing existing exposures; and
(c) identifying the appropriate approval authority for the size and complexity of the exposures.
54. An ADI must document the credit assessment and approval process and identify the approval authority for each exposure, so that it is clear which personnel are accountable for the individual credit decision.
55. An ADI must ensure personnel involved in the credit assessment and approval process have appropriate experience and knowledge to exercise prudent credit judgement commensurate with the nature, size and complexity of the transaction to which they are involved.
56. An ADI must have prudent credit risk policies and processes with respect to overrides, waivers or exceptions, including clear identification of approval authorities and limits that reflect the maximum level of allowable overrides, waivers or exceptions.
57. Exposures originated as overrides, waivers or exceptions to, or otherwise not in compliance with, credit risk policies must be regularly reported to an ADI's relevant internal governance bodies and review functions.
Third party credit assessment and approval
58. Where an ADI uses a third party, such as a broker, to undertake any aspects of the credit assessment or approval, an ADI must implement appropriate oversight processes of the third party. An ADI must monitor and test the integrity of the third-party assessment and approval on a regular basis, either directly or through operationally independent personnel to ensure it aligns with the ADI's credit assessment and approval criteria.
59. Where an ADI has direct exposure to credit risk through a third party, such as an on-line lending platform and the platform operator or other third party undertakes the credit assessment and approval of the underlying borrowers under its own credit risk policies and processes, the ADI must perform adequate due diligence on these exposures, including obtaining:
(a) a comprehensive understanding of the risk characteristics of the prospective and actual exposures;
(b) timely access to and review of performance information on the exposures; and
(c) a comprehensive understanding of all structural features of the transaction.",core,39-59,11,14
APS-220,APS-220-S18,"Credit administration, measurement and monitoring","Credit Administration, Measurement and Monitoring","ADIs must maintain appropriate systems for ongoing credit portfolio administration, monitoring individual exposures and overall portfolio quality, and measuring credit risk across all on- and off-balance sheet activities. Requirements include credit risk grading systems, stress testing at portfolio and individual levels, and communication of stress testing results to the Board.","60. An ADI must have an appropriate system for the ongoing administration of its credit portfolio.
61. An ADI's credit administration system must have regard to:
(a) the efficiency and effectiveness of credit administration operations, including monitoring documentation, contractual requirements, covenants and collateral;
(b) the accuracy and timeliness of information provided to management information systems;
(c) adequate segregation of duties;
(d) the adequacy of controls over all credit administration processes; and
(e) compliance with credit risk policies and processes as well as applicable laws and regulations.
62. An ADI must ensure its credit administration system captures all the information necessary to ascertain the current financial condition of the borrower as well as sufficient information to track all credit decisions made and the history of each exposure. An ADI's credit risk review function must determine that credit administration is complete and that all approvals and other necessary documents have been obtained.
63. An ADI must have an appropriate system for monitoring the condition of individual exposures, including determining the adequacy of provisions.
64. An ADI must have in place an appropriate system for monitoring the overall composition and quality of the credit portfolio.
65. An ADI must have an appropriate information system and analytical techniques that enable management to measure the credit risk inherent in all on- and off-balance sheet activities. The management information system must provide adequate information on the composition of the ADI's credit portfolio, including identification of any concentrations of risk.
Credit risk grading systems
66. Where appropriate for the scope, scale and complexity of its operations, an ADI must have in place an internal credit risk grading system.
67. An ADI must have in place prudent policies and processes governing the development, validation, operation and oversight of its credit risk grading system.
68. Coverage of the credit risk grading system must extend to as much of the ADI's credit portfolio as possible, including off-balance sheet exposures. The credit risk grading system must meaningfully assess and differentiate risk and be able to rank risk consistently and through time. A sufficient number of risk grades must be included to ensure that the system adequately captures gradation of risk and the definitions and criteria for each risk grade must be plausible and intuitive.
Stress testing
69. An ADI must take into consideration potential future changes in economic conditions when assessing individual exposures and its credit portfolio, and must assess its credit risk exposures under stressed conditions.
70. An ADI must undertake regular portfolio level and risk specific stress testing of its credit exposures.
71. The complexity and granularity of an ADI's stress testing must take into account the nature and scale of the ADI's credit portfolio. An ADI must conduct stress testing at a sufficiently granular level to enable adequate sensitivity to the risk characteristics of different exposure types. Scenarios used for stress testing must include severe but plausible adverse conditions.
72. An ADI must consider the results of stress testing in its overall limit setting and monitoring process.
73. Stress testing analyses must include contingency plans regarding actions the Board and senior management may take given certain scenarios.
74. An ADI's stress testing arrangements must include well-documented and sound policies and processes governing the stress testing program, including the timely communication of information on scenarios, key assumptions, results and capital impacts to the ADI's Board and senior management.
75. Stress testing models must be appropriately validated and checked independently or by an appropriately qualified external party.",core,60-75,14,16
APS-220,APS-220-S19,Controls over credit risk,Controls Over Credit Risk,"ADIs must establish independent, regular reviews of credit risk management processes with results communicated to the Board and senior management. Internal controls must ensure credit exposures remain within limits, overrides are reported promptly, and there are effective systems for early remedial action and workout of problem exposures.","Review of credit risk management processes
76. An ADI must establish a system of independent, regular reviews of the ADI's credit risk management processes and practices (refer to paragraph 28(e) of this Prudential Standard) and the results of such reviews must be communicated directly to the Board and senior management.
Internal controls and limits
77. An ADI must ensure that the credit origination, credit assessment and approval function is properly managed and that credit exposures are within levels consistent with an ADI's limits. An ADI must establish and enforce internal controls and other practices to ensure that overrides, waivers or exceptions to policies, processes and limits are reported in a timely manner to the appropriate level of management for action.
Systems for remedial action
78. An ADI must have an appropriate system in place for early remedial action on problem exposures, managing problem exposures and similar workout situations. An ADI's collections systems must bring together a borrower's arrears profile and be able to be scaled to manage high volumes in a time of stress.
79. An ADI must have an effective workout program for problem exposures, with the segregation of the workout function from the area that originated the exposure. An ADI must have an effective strategy and appropriate organisational resources and personnel in place to manage these exposures.
80. An ADI must have prudent policies and processes that assist the ADI to recover as much of an exposure as is reasonably achievable within the requirements established by law and also having regard to community expectation as to how borrowers are to be treated. An ADI must consider the risk to its reputation in such circumstances.",core,76-80,16,17
APS-220,APS-220-S20,Classification of exposures and provisions,Classification of Exposures and Provisions,"ADIs must classify credit risk exposures as performing or non-performing, with classification also required at 30, 60 and 90 days past-due. Material non-performing exposures must be assessed individually, and the Board must receive timely information on portfolio condition including classification and provisioning levels.","81. An ADI must have prudent policies and processes for classifying its credit risk exposures for prudential reporting purposes and for establishing appropriate and robust provisioning levels. An ADI's system for classification and provisioning must take into account on- and off-balance sheet exposures.
82. An ADI must classify its credit risk exposures as performing or non-performing. An ADI must have adequate documentation to support its classification of exposures and its provisioning levels. An ADI must also classify its exposures when payments are past-due for a minimum number of days (i.e. 30, 60 and 90 days).
83. An ADI must regularly review its exposures at an individual level or at a portfolio level to ensure appropriate classification of exposures, provisioning levels and write-offs.
84. An ADI must have sound policies and processes to ensure that provisions and write-offs are timely and reflect realistic repayment and recovery expectations, taking into account market and macroeconomic conditions.
85. An ADI's Board must obtain timely and appropriate information on the condition of the ADI's credit portfolio, including the classification of exposures as performing and non-performing and the level of provisions. The information must include, at a minimum, results of the latest credit risk review process, comparative trends in the overall quality of exposures and measurements of existing or anticipated deterioration in asset quality and expected credit losses.
86. An ADI must ensure that valuation, classification and provisioning for material non-performing exposures are conducted on an individual exposure basis.
87. An ADI must regularly assess any trends and concentrations in risk and risk build-up in relation to credit exposures and take into account any observed concentration in the risk mitigation strategies adopted and the potential effect on the efficacy of the mitigant in reducing loss. An ADI must consider the adequacy of provisions in light of this assessment.",core,81-87,17,17
